COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,
PUERTO RICO,1087,1037,1007,1203,1228,1613,1416,1435,1346,1555,1864,2181,2482,2721,2623,3046,3042,3118,3505,3613,3468,3403,3578,5028,5330,
QATAR,808,808,868,1140,1100,1207,1425,1618,1496,1680,1435,1625,1398,1516,1678,1883,2310,1652,1781,1854,1867,1889,2119,2707,2881,
REUNION,670,637,542,618,639,611,743,653,569,739,626,1039,1189,1318,1268,1525,1501,1586,1971,1886,1942,6936,7984,6767,,
ROMANIA,3458,3743,3461,3846,4996,5225,5900,6219,6209,7267,6288,6754,6978,6992,6616,6775,6607,6368,6597,6535,6372,7043,7657,7492,7812,
RUSSIA,2095,2023,1927,2081,2236,1958,1984,2099,1981,2200,2078,2587,2609,2934,3199,3972,4279,3782,4557,4837,5104,5074,5934,7040,7833,
SAUDI ARABIA,1373,1635,1365,1242,1501,1539,1541,2111,1941,2170,2209,1882,2025,2052,2033,2209,2030,2026,2287,2061,1700,1613,2034,2459,2793,
SERBIA,875,927,812,804,904,1088,1287,1325,1299,1343,1307,1385,1399,1649,2106,2353,2418,2390,2724,2764,3056,3055,3649,3818,4069,
SINGAPORE,2170,2681,2478,3167,3633,3829,3996,4234,3709,3984,3617,3832,3943,3987,4217,4569,4422,4576,5255,5127,4949,5520,6569,6526,7779,
SLOVAKIA,4120,5053,4026,4269,4295,4426,4433,4322,4166,4342,4093,4140,4016,4349,4785,5481,5524,5328,5735,5461,5834,5765,6056,6391,6775,
SLOVENIA,2847,2916,2582,2706,3231,3230,3325,3278,3221,3530,3711,3597,3500,3734,3688,4685,4584,4384,4816,4566,4911,5178,5329,5767,6240,
SOUTH AFRICA,775,684,1137,920,1280,1349,1207,1021,947,1217,1130,1068,1237,1396,1501,1523,1624,1515,1845,1814,2149,2132,2166,2287,2262,
SOUTH KOREA,12042,13668,10987,13816,12477,15034,10882,11185,14571,12103,11686,15765,13207,6993,8687,10245,16737,15997,15749,14207,14675,13972,14182,13292,22129, 
SPAIN,2385,2564,2447,2586,2632,2680,2673,2693,2524,2975,2534,2767,2754,2992,3428,3940,4020,3979,4615,4639,4832,4932,4996,5869,6883,
SRI LANKA,375,367,349,282,408,420,462,464,462,1101,890,882,936,878,1011,1066,987,881,1299,1347,1474,1531,1546,2133,2143,
SWEDEN,4772,4767,4527,4824,5486,5858,6672,5860,5671,6208,6193,5572,5046,5139,5037,5322,5393,5640,6336,5854,6765,7265,8389,8448,9265,
SWITZERLAND,4562,4629,4380,4730,4919,5078,5648,4905,4863,5113,5301,5086,5345,5635,6213,7287,7508,7290,8103,8429,8693,8737,10089,11009,11596,
SYRIA,429,464,480,455,437,463,529,562,307,2299,3042,2044,1563,1944,1772,1367,1441,1284,1670,1824,1732,1798,2041,1252,1490,
TAIWAN,3261,3241,2855,2753,3802,4000,4632,4181,4580,4302,4319,4059,5025,4732,4127,4160,4069,3735,3890,3748,4358,3945,4045,5486,8019,
THAILAND,1094,924,773,887,1231,1487,1686,2089,2416,2509,2863,2904,2798,2710,2859,3163,3424,3081,3309,3127,2930,3258,3922,4452,4716,
