Fips,Year,Area,GDP,GDPGrowth,Size.of.Metro.Area,Personal.Income,Num.Of.Jobs,Job.Growth,TYPE,land_area,population,households,dem_inc_median,dem_inc_less25,dem_inc_25to50,dem_inc_50to100,dem_inc_100to200,dem_inc_greater200,opticalfiber,advdl_gr1gig
13780,2011,"Binghamton, NY (MSA)",30437,-0.2,67.8,37292,108278,-1.27,POP,1152.636767,250693,112341,45980.1397,0.3405,0.3184,0.265,0.0655,0.0105,0.2108,0.0311
13820,2011,"Birmingham-Hoover, AL (MSA)",42488,1.84,94.65,40289,504904,0.39,POP,5087.240312,1137100,503940,49895.2321,0.3183,0.2955,0.2801,0.085,0.0211,0.0066,0.0021
49700,2012,"Yuba City, CA (MSA)",23059,-0.9,50.56,34763,47823,1.9,POP,1176.537566,173199,64725,54216.9565,0.2315,0.3236,0.3277,0.1476,0.0231,0.0172,0.0001
49700,2012,"Yuba City, CA (MSA)",23059,-0.9,50.56,34763,47823,1.9,HU,1176.537566,173199,64725,54216.9565,0.2315,0.3236,0.3277,0.1476,0.0231,0.0158,0.0001
11180,2012,"Ames, IA (MSA)",41637,3.73,91.3,44568,49759,0.67,POP,519.1171784,92111,38262,53569.2417,0.2592,0.3043,0.3165,0.1473,0.0248,0.072,0
11180,2012,"Ames, IA (MSA)",41637,3.73,91.3,44568,49759,0.67,HU,519.1171784,92111,38262,53569.2417,0.2592,0.3043,0.3165,0.1473,0.0248,0.0704,0
13820,2012,"Birmingham-Hoover, AL (MSA)",43953,3.45,96.38,41850,516472,2.29,POP,5087.240312,1142286,508768,54965.7923,0.2638,0.3181,0.2983,0.1469,0.0336,0.012,0.0052
17900,2012,"Columbia, SC (MSA)",37100,2.15,81.35,37294,368529,2.19,POP,3606.681636,794106,342121,52885.5556,0.244,0.3217,0.3171,0.1469,0.0261,0.0535,0
13820,2012,"Birmingham-Hoover, AL (MSA)",43953,3.45,96.38,41850,516472,2.29,HU,5087.240312,1142286,508768,54965.7923,0.2638,0.3181,0.2983,0.1469,0.0336,0.0142,0.0048
17900,2012,"Columbia, SC (MSA)",37100,2.15,81.35,37294,368529,2.19,HU,3606.681636,794106,342121,52885.5556,0.244,0.3217,0.3171,0.1469,0.0261,0.0539,0
22380,2012,"Flagstaff, AZ (MSA)",31447,0.26,68.96,34820,61649,1.35,POP,18298.70594,135648,64153,51698.6631,0.2694,0.3227,0.3079,0.1468,0.0209,0,0
22380,2012,"Flagstaff, AZ (MSA)",31447,0.26,68.96,34820,61649,1.35,HU,18298.70594,135648,64153,51698.6631,0.2694,0.3227,0.3079,0.1468,0.0209,0,0
17460,2012,"Cleveland-Elyria, OH (MSA)",46238,1.77,101.39,44775,1042251,1.91,POP,3756.476369,2063052,957878,52880.3434,0.2653,0.3118,0.3032,0.1464,0.0306,0,0
17460,2012,"Cleveland-Elyria, OH (MSA)",46238,1.77,101.39,44775,1042251,1.91,HU,3756.476369,2063052,957878,52880.3434,0.2653,0.3118,0.3032,0.1464,0.0306,0,0
24300,2012,"Grand Junction, CO (MSA)",29980,-0.41,65.74,35726,62174,1.06,POP,3266.192472,154347,67291,55451.4505,0.2268,0.3123,0.3437,0.1454,0.0313,0.0012,0.0012
24300,2012,"Grand Junction, CO (MSA)",29980,-0.41,65.74,35726,62174,1.06,HU,3266.192472,154347,67291,55451.4505,0.2268,0.3123,0.3437,0.1454,0.0313,0.0012,0.0012
30700,2012,"Lincoln, NE (MSA)",43599,0.97,95.6,41584,175546,1.65,POP,1273.930616,312175,131834,55271.8867,0.2306,0.3134,0.3441,0.1451,0.0254,0.2548,0.0011
30700,2012,"Lincoln, NE (MSA)",43599,0.97,95.6,41584,175546,1.65,HU,1273.930616,312175,131834,55271.8867,0.2306,0.3134,0.3441,0.1451,0.0254,0.2506,0
