COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
U.S. - NEVADA,12808,13317,13188,13667,13817,14642,19495,22592,16535,17310,17337,17818,20232,21936,21807,22785,24791,25234,28490,29084,28677,30081,30762,32012,35362
U.S. - NEW HAMPSHIRE,13128,13880,14277,14382,17071,16391,21833,29091,20122,19104,21054,21222,23676,22687,23095,24103,27134,30260,33763,34200,37125,37739,44709,43815,45583
U.S. - NEW JERSEY,11328,12086,12573,13090,13590,13805,18897,24538,15868,16681,17391,17725,19908,21081,21713,23274,25016,27496,32234,33967,35906,38535,44790,46392,49155
U.S. - NEW MEXICO,7362,7680,7429,7308,8331,10337,13130,16370,12245,12152,12774,12761,16049,16696,16166,19326,20052,21484,23216,25724,27266,27984,28679,29821,30964
U.S. - NEW YORK,10623,11327,11805,12268,13686,14124,19576,27732,17724,17241,18145,17898,21455,22279,24741,25273,27560,28745,32519,33163,35958,38603,42575,42636,45002
U.S. - NORTH CAROLINA,10608,11095,11442,11576,12466,12483,17334,24407,16534,16474,16704,16134,19349,21293,22887,24901,27994,27426,31055,30435,32206,33435,36758,36987,35833
U.S. - NORTH DAKOTA,11920,10970,11764,10640,12000,12952,15911,20759,15916,15385,15918,14238,20183,21001,21024,19411,24942,22853,26603,25512,29310,30747,34414,31881,39334
U.S. - OHIO,8142,8574,8784,9201,9804,10324,13748,22620,13692,13249,13780,13522,16493,17065,19737,20013,22204,22571,26241,26274,27996,28730,29662,23725,17235
U.S. - OKLAHOMA,12467,13437,13346,13588,13924,14376,18957,24303,15929,16012,16810,16953,18896,19871,19760,21049,21907,21354,23662,23225,25307,25531,26118,26406,27783
U.S. - OREGON,7979,8656,9956,10474,10544,11490,15633,20662,14162,14330,15109,15281,17950,17633,18822,19168,21345,23637,27557,28635,29539,31776,37030,40259,42880
U.S. - PENNSYLVANIA,10261,10857,11462,11604,12001,12317,16463,25029,14815,15040,15920,15946,19113,19994,20832,22051,24397,26537,30329,30462,32729,34742,39783,40218,42666
U.S. - RHODE ISLAND,12374,13475,14685,14890,15643,15604,19733,28904,20039,20017,21363,21550,25154,27487,26935,31256,32136,29582,33515,33600,34593,36746,39468,40740,46017
U.S. - SOUTH CAROLINA,9082,9681,10041,10484,11035,11054,15460,22521,14257,16069,16372,16330,20124,20889,21954,24144,25695,25936,29775,29466,30857,31436,35290,35150,35689
U.S. - SOUTH DAKOTA,7228,7407,7489,7575,8224,7702,10761,27587,12503,15049,14830,15337,17588,17552,18988,18626,21079,22233,28105,27198,29952,29155,35238,35732,36790
U.S. - TENNESSEE,9692,10632,11008,11397,11906,11619,15590,21337,13115,14150,14649,15099,19141,20405,21605,23193,25275,26047,30507,29098,31236,32219,35008,36202,38647
U.S. - TEXAS,8576,9102,9412,10125,10900,10757,14888,20343,14039,14270,15402,16200,18751,19329,20635,21494,23224,24225,26478,26722,28850,30291,32355,33763,35148
U.S. - UTAH,9272,11851,12957,12603,12915,14560,18640,19215,16254,15002,17152,16094,21007,22082,22692,22888,26555,27624,31238,29268,33120,36690,40439,37787,40431
U.S. - VERMONT,12586,13749,13801,14083,16061,15576,20497,25983,19717,19928,21947,20547,25666,25759,24179,25605,30732,31727,35366,35106,38806,41429,47714,36040,35886
U.S. - VIRGINIA,8945,9954,10457,10384,11986,12493,16319,24326,15967,16337,17168,18262,21965,23316,24771,26674,28459,30015,33880,34081,35401,37012,43604,43978,48804
U.S. - WASHINGTON,8846,9864,11734,13012,13066,14418,18224,23607,16729,17074,18103,18712,21815,22069,21794,23324,24272,27299,31571,32724,32552,34808,40637,45018,46679
U.S. - WEST VIRGINIA,11065,11735,12831,10841,11658,12231,15877,19490,15453,14623,15954,13899,19192,17794,17701,18124,23624,21607,24033,21290,25379,26304,28128,27209,29977
U.S. - WISCONSIN,9972,10237,10565,10655,11011,11365,15375,24283,15256,16442,17291,17134,20086,20748,22548,22256,24792,24836,27788,26400,29551,31115,34069,33086,37219
U.S. - WYOMING,8123,7758,8382,8749,7718,7980,11593,14907,9322,8643,9933,10372,12853,13898,14659,15940,18145,18654,24215,22906,26703,28109,31043,31901,32099
UKRAINE,3692,3141,3446,3452,3323,3386,4542,5172,4518,5267,5354,6727,8769,10144,12173,13836,15558,16339,17821,17272,18805,19492,24504,25605,26083
UNITED ARAB EMIRATES,1720,2042,8096,2295,4139,4012,5902,7543,6665,5592,5246,7281,16178,27808,27109,27390,108666,101888,94747,103283,107592,110997,95243,38420,36043
UNITED KINGDOM,7714,8238,8238,8402,8575,9186,12693,13055,11235,11841,12427,13488,14862,16209,17278,19110,20001,21172,23673,24488,28137,30486,35261,37144,35687
UNITED STATES,9771,10371,10838,11229,11889,12158,16397,22949,15080,15212,16217,16397,19492,20069,20895,21999,23834,25268,28855,29138,30978,32765,35884,36305,36950
URUGUAY,1821,1747,1916,2002,2110,2426,5489,16556,2454,3158,3359,3821,5660,6378,5784,5538,5756,7725,8663,9830,12988,13378,14804,15301,13489
VENEZUELA,2892,2612,2923,2946,3056,3069,5669,8257,3204,3233,3217,3842,4778,4991,4778,4880,5453,6966,6793,6829,8278,8033,8455,8438,7973
VIETNAM,2256,2636,2671,2959,2970,2823,5285,7039,5136,4873,6500,6446,6427,8302,7683,10087,8657,8614,8503,8913,8648,9631,12270,14051,11398
